city_name,population,country_code,timezone,latitude,longitude
Maracaibo,2225000,VE,America/Caracas,10.66663,-71.61245
Maracanaú,193529,BR,America/Fortaleza,-3.87667,-38.62556
Maracay,1754256,VE,America/Caracas,10.23535,-67.59113
Maradi,361702,NE,Africa/Niamey,13.5,7.10174
Maran,111056,MY,Asia/Kuala_Lumpur,3.586,102.773
Marand,124191,IR,Asia/Tehran,38.4329,45.7749
Marawi City,143627,PH,Asia/Manila,8.0034,124.28395
Marbella,134623,ES,Europe/Madrid,36.51543,-4.88583
Marcory,214061,CI,Africa/Abidjan,5.31198,-3.99363
Mardan,300424,PK,Asia/Karachi,34.19794,72.04965
Mardin,129864,TR,Europe/Istanbul,37.31309,40.74357
Marg‘ilon,242500,UZ,Asia/Tashkent,40.47237,71.72463
Marianao,134057,CU,America/Havana,23.07385,-82.4189
